Id,name,company,location,position,type
25MeMa,Top25MedienmacherUnter35,KressPro,,,preis
25Ne,Die25NewcomerDesJahres,KressPro,,,preis
3SAT,3Sat,,,,employment
AKHi,AnnKathrinHipp,RadioEins,Berlin,FreieKommentatorin,person
AKWe,AnnKathrinWetter,BayrischerRundfunk,Muenchen,Reporterin,person
AlAg,AltanaAg,,Wesel,,employment
AlBa,AlexandraBauer,NDR,Hamburg,Moderatorin,person
AlRh,AlexanderRhombergPreis,,,,preis
AlSc,AlinaSchadwinkel,Zeit,Berlin,Wissenschaftsjournalistin,person
AlZeLue,AllgemeinenZeitungderLueneburgerHeideinUelzen,,Lueneburg,,employment
AmAw,AmikoAward,,,,preis
AmBe,AminataBelli,NorddeutscherRundfunk,Hamburg,FreieJournalistin,person
AMD,AkademiefuerModeundDesign,,Hamburg,,education
AmIn,AmnestyInternational,,London,,engagement
AMP,AlternativerMedienPreis,SueddeutscheZeitung,Muenchen,,preis
AMUK,AlbertusMagnusUniversitaetzuKoeln,,Koeln,,education
AmUn,AmericanUniversity,,Washington,,education
AmUnCa,TheAmericanUniversityinCairo,,Cairo,,education
AmWe,AmelieMarieWeber,FunkeMediengruppe,Berlin,Redakteurin,person
AnBi,AnnaBiselli,,,Informatikerin,person
AnBr,AnnikaBrockschmidt,Zeit,Berlin,FreieJournalistin,person
AnFe,AnnaFeist,ZweitesDeutscheFernsehen,Mainz,Reporterin,person
AnGe,AngeliqueGeray,,,,person
AnKaGe,AnneKathrinGerstlauer,DieZeit,Hamburg,Konzeption,person
AnGr,AngelaGruber,,Hamburg,Auslandsreporterin,person
AnKaBu,AnnKathrinBueuesker,Deutschlandfunk,Koeln,RedakteurinModeratorin,person
AnMay,AnnaMayr,,Correctiv,FreieJournalistin,person
AnMa,AntoniaMannweiler,FAZ,Frankfurt,Redakteurin,person
AnPa,AnnaPaarmann,MedienhausLueneburg,Lueneburg,DigitalKoordinatorin,person
AnPe,AnnaPetersen,LandeszeitungfuerdieLueneburgerHeide,,Pauschalistin,person
AnRe,AnnaReuue,SueddeutscheZeitung,Muenchen,Redakteurin,person
AnSe,AnettSelle,DieZeit,Hamburg,FreieJournalistin,person
ARD,ArbeitsgemeinschaftDerOeffentlichRechtlichenRundfunkanstaltenDerBRD,,Berlin,,employment
ArStBr,ARDStudioBruessel,,Bruessel,,employment
ARTE,Arte,,Strassburg,,employment
ASP,AxelSpringerPreis,AxelSpringerAkademie,Berlin,,preis
AxSp,AxelSpringer,AxelSpringerSE,Berlin,,employment
AxSpAk,AxelSpringerAkademie,AxelSpringerSE,Berlin,,education
